"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.128895283E-2,4.300195377E1,-7.879110438E1,1.789536667E2,1.442417853E2,NaN,NaN,1.114853889E-2,5.081025342E1,2.519328308E1,-1.000000000E0
6.268247366E-1,4.300189020E1,-7.879121038E1,1.785482178E2,1.438364244E2,8.199999928E-1,1.659375000E2,1.311871359E-2,1.512618925E1,2.400000000E1,-1.000000000E0
1.713836193E0,4.300188659E1,-7.879118666E1,1.788781128E2,1.441663319E2,8.199999928E-1,1.610156250E2,1.438366009E-2,1.288501505E1,2.400000000E1,-1.000000000E0
2.713855505E0,4.300189225E1,-7.879117317E1,1.810513916E2,1.463396039E2,7.699999809E-1,1.599609375E2,1.535019571E-2,9.722259415E0,1.600000000E1,-1.000000000E0
3.713874459E0,4.300189317E1,-7.879116135E1,1.775075684E2,1.427957820E2,7.699999809E-1,1.750781250E2,1.669446597E-2,7.559903766E0,1.200000000E1,-1.000000000E0
4.713892460E0,4.300189183E1,-7.879114492E1,1.792204590E2,1.445086791E2,1.299999952E0,1.645312500E2,1.830210520E-2,7.416073847E0,1.200000000E1,-1.000000000E0
5.713910103E0,4.300188730E1,-7.879112614E1,1.798497314E2,1.451379645E2,1.509999990E0,1.596093750E2,2.006898870E-2,6.882335513E0,1.200000000E1,-1.000000000E0
6.713923931E0,4.300188194E1,-7.879110569E1,1.797349243E2,1.450231722E2,1.509999990E0,1.441406250E2,2.163694061E-2,6.488686226E0,8.000000000E0,-1.000000000E0
7.713930130E0,4.300187901E1,-7.879108683E1,1.798239746E2,1.451122325E2,1.509999990E0,1.448437500E2,2.376085577E-2,6.079761839E0,8.000000000E0,-1.000000000E0
8.713927507E0,4.300189007E1,-7.879106554E1,1.799918823E2,1.452801256E2,0.000000000E0,2.046093750E2,2.448640935E-2,5.803347763E0,8.000000000E0,-1.000000000E0
9.713919878E0,4.300189493E1,-7.879105959E1,1.799907227E2,1.452789587E2,0.000000000E0,NaN,2.525047271E-2,5.218582829E0,8.000000000E0,-1.000000000E0
1.071391368E1,4.300189778E1,-7.879105104E1,1.781527710E2,1.434410040E2,0.000000000E0,9.421875000E1,2.633589171E-2,4.350350693E0,6.000000000E0,-1.000000000E0
1.171390307E1,4.300190440E1,-7.879104123E1,1.770775757E2,1.423657992E2,9.800000191E-1,3.339843750E1,2.793115949E-2,3.870543787E0,6.000000000E0,-1.000000000E0
1.271388745E1,4.300191765E1,-7.879103369E1,1.779744873E2,1.432626889E2,1.149999976E0,3.093750000E1,2.908109787E-2,3.535533906E0,4.000000000E0,-1.000000000E0
1.371386874E1,4.300192653E1,-7.879102644E1,1.779744874E2,1.432626748E2,1.149999976E0,3.093750495E1,3.078288706E-2,4.182768515E0,4.040913830E0,-1.000000000E0
1.471385419E1,4.300194037E1,-7.879101752E1,1.788122560E2,1.441004207E2,1.220000029E0,2.988281758E1,3.228370057E-2,4.182768462E0,4.040913885E0,-1.000000000E0
1.571384287E1,4.300195252E1,-7.879100947E1,1.780700685E2,1.433582133E2,1.220000029E0,2.953125503E1,3.386673491E-2,4.596103214E0,3.563758167E0,-1.000000000E0
1.671382380E1,4.300196585E1,-7.879100265E1,1.779959108E2,1.432840332E2,1.220000029E0,2.566406692E1,3.563950574E-2,4.596103203E0,3.563758183E0,-1.000000000E0
1.771380603E1,4.300198099E1,-7.879099584E1,1.778048708E2,1.430929676E2,1.360000014E0,2.109375409E1,3.709105323E-2,4.596103191E0,3.563758198E0,-1.000000000E0
