Distance_(microns),Gray_Value
0.000000,358.000
0.008229,481.474
0.016459,618.895
0.024688,828.263
0.032918,1192.789
0.041147,1801.789
0.049377,2767.526
0.057606,4220.210
0.065836,6254.737
0.074065,8779.632
0.082295,11735.474
0.090524,15340.737
0.098754,19931.000
0.106983,25468.684
0.115213,31386.211
0.123442,36868.844
0.131672,41476.895
0.139901,44855.211
0.148131,46478.473
0.156360,46144.000
0.164590,44059.262
0.172819,40553.578
0.181049,36172.473
0.189278,31045.736
0.197508,25444.105
0.205737,19743.578
0.213967,14568.789
0.222196,10432.105
0.230426,7495.474
0.238655,5447.947
0.246885,3986.579
0.255114,2878.158
0.263344,2097.526
0.271573,1570.105
0.279803,1222.211
0.288032,974.789
0.296262,794.895
0.304491,650.421
0.312721,536.000
