Distance_(microns),Gray_Value
0.000000,526.000
0.008229,818.296
0.016459,1202.697
0.024688,1664.655
0.032918,2308.097
0.041147,3264.664
0.049377,4655.208
0.057606,6665.170
0.065836,9705.834
0.074065,14124.952
0.082295,19551.469
0.090524,25300.678
0.098754,31158.281
0.106983,37392.777
0.115213,43694.355
0.123442,48606.348
0.131672,51364.773
0.139901,51818.125
0.148131,49997.719
0.156360,45845.004
0.164590,40803.566
0.172819,35772.980
0.181049,30709.758
0.189278,25014.082
0.197508,18948.232
0.205737,13497.856
0.213967,9399.431
0.222196,6660.325
0.230426,4824.502
0.238655,3477.615
0.246885,2430.043
0.255114,1664.157
0.263344,1220.702
0.271573,1008.807
0.279803,875.500
