"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.377006531E-2,4.300457026E1,-7.879421941E1,1.797387848E2,1.450214055E2,NaN,NaN,1.549555291E-1,1.760037875E2,9.839477539E0,-1.000000000E0
4.232640266E-1,4.300445078E1,-7.879611797E1,1.798835144E2,1.451658750E2,NaN,NaN,2.459837123E-1,1.760235318E2,7.404935360E0,-1.000000000E0
5.503749847E-1,4.300438043E1,-7.879723326E1,1.799300232E2,1.452122313E2,NaN,NaN,4.833569838E-1,1.760258797E2,6.224861622E0,-1.000000000E0
6.482665539E-1,4.300455941E1,-7.879432443E1,1.599917603E2,1.252743742E2,6.200000048E-1,3.508593750E2,4.867827159E-1,1.518041299E1,1.200000000E1,-1.000000000E0
1.483265758E0,4.300457643E1,-7.879428931E1,1.764718018E2,1.417543939E2,6.299999952E-1,3.452343750E2,4.874410461E-1,8.551330492E0,1.200000000E1,-1.000000000E0
2.483266354E0,4.300458167E1,-7.879428553E1,1.762929688E2,1.415755524E2,6.200000048E-1,3.459375000E2,4.878475660E-1,6.423232601E0,8.000000000E0,-1.000000000E0
3.483265400E0,4.300458443E1,-7.879428227E1,1.730980225E2,1.383806019E2,6.100000143E-1,3.522656250E2,4.883400762E-1,3.535533906E0,6.000000000E0,-1.000000000E0
4.483265519E0,4.300458804E1,-7.879427874E1,1.735815430E2,1.388641168E2,6.100000143E-1,3.600000000E2,4.889255775E-1,3.535533906E0,3.000000000E0,-1.000000000E0
5.483264804E0,4.300459290E1,-7.879427598E1,1.728168335E2,1.380993993E2,7.300000191E-1,4.570312500E0,4.894575283E-1,3.535533906E0,3.000000000E0,-1.000000000E0
6.483284116E0,4.300459596E1,-7.879427095E1,1.724318848E2,1.377144463E2,7.300000191E-1,1.617187500E1,4.902060548E-1,3.535533906E0,3.000000000E0,-1.000000000E0
7.483283281E0,4.300459420E1,-7.879426206E1,1.716242065E2,1.369067735E2,7.300000191E-1,4.816406250E1,4.913570144E-1,3.535533906E0,3.000000000E0,-1.000000000E0
8.483283520E0,4.300458879E1,-7.879424999E1,1.714364014E2,1.367189810E2,7.300000191E-1,9.386718750E1,4.927632636E-1,3.535533906E0,3.000000000E0,-1.000000000E0
9.483286142E0,4.300457945E1,-7.879423834E1,1.711965332E2,1.364791326E2,8.199999928E-1,1.258593750E2,4.942714444E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.048328531E1,4.300456813E1,-7.879422812E1,1.711671143E2,1.364497366E2,9.599999785E-1,1.381640625E2,4.958733097E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.148328626E1,4.300455589E1,-7.879421772E1,1.705434570E2,1.358261041E2,9.599999785E-1,1.437890625E2,4.974198565E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.248329175E1,4.300454449E1,-7.879420683E1,1.703331299E2,1.356158002E2,1.009999990E0,1.388671875E2,4.984291920E-1,3.535533906E0,3.000000000E0,-1.000000000E0
1.348329377E1,4.300453765E1,-7.879419868E1,1.703331300E2,1.356158147E2,1.009999990E0,1.388671931E2,4.997301945E-1,4.596105742E0,3.563754908E0,-1.000000000E0
1.448329675E1,4.300453035E1,-7.879418617E1,1.703015138E2,1.355842148E2,9.499999881E-1,1.293750061E2,5.008506670E-1,4.596105732E0,3.563754921E0,-1.000000000E0
1.548330057E1,4.300452749E1,-7.879417296E1,1.702060548E2,1.354887642E2,9.499999881E-1,1.117968824E2,5.017859853E-1,4.596105720E0,3.563754936E0,-1.000000000E0
1.648330331E1,4.300453104E1,-7.879416254E1,1.705768434E2,1.358595490E2,8.899999857E-1,8.367188240E1,5.029883347E-1,4.596105708E0,3.563754951E0,-1.000000000E0
1.748330092E1,4.300454158E1,-7.879415922E1,1.708029786E2,1.360856661E2,8.899999857E-1,3.902344219E1,5.043325627E-1,4.596105700E0,3.563754961E0,-1.000000000E0
1.848329413E1,4.300455343E1,-7.879416251E1,1.701931153E2,1.354757807E2,9.599999785E-1,5.625000787E0,5.055842692E-1,4.596105697E0,3.563754965E0,-1.000000000E0
1.948329234E1,4.300456414E1,-7.879416722E1,1.701347657E2,1.354174106E2,1.009999990E0,3.543749992E2,5.066539729E-1,4.596105698E0,3.563754965E0,-1.000000000E0
2.048329318E1,4.300457342E1,-7.879417070E1,1.699509278E2,1.352335551E2,9.700000286E-1,3.519140614E2,5.077466430E-1,4.596105698E0,3.563754964E0,-1.000000000E0
2.148329699E1,4.300458295E1,-7.879417396E1,1.697809449E2,1.350635542E2,9.900000095E-1,3.505078111E2,5.087499591E-1,4.596105698E0,3.563754964E0,-1.000000000E0
2.248329926E1,4.300459198E1,-7.879417396E1,1.701259767E2,1.354085696E2,9.700000286E-1,3.568359371E2,5.094310842E-1,4.596105696E0,3.563754967E0,-1.000000000E0
2.348330212E1,4.300459698E1,-7.879416912E1,1.697874146E2,1.350699998E2,7.300000191E-1,1.511718909E1,5.103928299E-1,4.596105691E0,3.563754974E0,-1.000000000E0
2.448330498E1,4.300459822E1,-7.879415742E1,1.698978272E2,1.351804131E2,7.799999714E-1,5.589844290E1,5.116723383E-1,4.596105681E0,3.563754987E0,-1.000000000E0
2.548330760E1,4.300459115E1,-7.879414500E1,1.699084474E2,1.351910491E2,7.799999714E-1,1.019531314E2,5.130093127E-1,4.596105670E0,3.563755001E0,-1.000000000E0
2.648330998E1,4.300458141E1,-7.879413537E1,1.694940797E2,1.347767014E2,8.500000238E-1,1.283203181E2,5.142415012E-1,4.596105661E0,3.563755011E0,-1.000000000E0
2.748331249E1,4.300457201E1,-7.879412733E1,1.694159547E2,1.346985953E2,9.200000167E-1,1.378125052E2,5.153763222E-1,4.596105655E0,3.563755019E0,-1.000000000E0
2.848331463E1,4.300456313E1,-7.879412045E1,1.693239137E2,1.346065720E2,9.200000167E-1,1.427343797E2,5.165330818E-1,4.596105651E0,3.563755025E0,-1.000000000E0
2.948331606E1,4.300455441E1,-7.879411269E1,1.693718873E2,1.346545633E2,9.200000167E-1,1.413281298E2,5.177847174E-1,4.596105645E0,3.563755032E0,-1.000000000E0
3.048331821E1,4.300454594E1,-7.879410256E1,1.694421388E2,1.347248326E2,9.700000286E-1,1.374609430E2,5.190705324E-1,4.596105638E0,3.563755042E0,-1.000000000E0
3.148331881E1,4.300453821E1,-7.879409080E1,1.696188966E2,1.349016073E2,1.059999943E0,1.325390690E2,5.201132206E-1,4.596105629E0,3.563755054E0,-1.000000000E0
3.248332143E1,4.300453551E1,-7.879407852E1,1.695650636E2,1.348477822E2,1.059999943E0,1.181250078E2,5.213655933E-1,4.596105618E0,3.563755067E0,-1.000000000E0
