"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.243801117E-2,4.300451059E1,-7.879423765E1,1.778436279E2,1.431263516E2,NaN,NaN,3.519280287E-2,3.500000000E1,9.353354454E0,-1.000000000E0
7.470240593E-1,4.300449831E1,-7.879467011E1,1.781168518E2,1.433994893E2,NaN,NaN,6.999926689E-2,3.514576476E1,7.541800022E0,-1.000000000E0
1.580039263E0,4.300453133E1,-7.879424446E1,1.712408447E2,1.365235293E2,8.700000048E-1,2.707031250E1,7.114852035E-2,3.535533906E0,3.000000000E0,-1.000000000E0
2.580039024E0,4.300454068E1,-7.879423843E1,1.712196045E2,1.365022738E2,8.700000048E-1,3.128906250E1,7.210374081E-2,3.535533906E0,3.000000000E0,-1.000000000E0
3.580039263E0,4.300454651E1,-7.879422979E1,1.712958984E2,1.365785594E2,1.159999967E0,5.414062500E1,7.307842504E-2,3.535533906E0,3.000000000E0,-1.000000000E0
4.580039263E0,4.300454646E1,-7.879421781E1,1.710509033E2,1.363335673E2,1.240000010E0,9.597656250E1,7.441801308E-2,3.535533906E0,3.000000000E0,-1.000000000E0
5.580038786E0,4.300453875E1,-7.879420515E1,1.707932129E2,1.360758940E2,1.509999990E0,1.335937500E2,7.596623827E-2,3.535533906E0,3.000000000E0,-1.000000000E0
6.580053449E0,4.300452765E1,-7.879419367E1,1.706945801E2,1.359772840E2,1.509999990E0,1.402734375E2,7.734985829E-2,3.535533906E0,3.000000000E0,-1.000000000E0
7.580051899E0,4.300451864E1,-7.879418193E1,1.702719727E2,1.355546958E2,1.480000019E0,1.328906250E2,7.841890709E-2,3.535533906E0,3.000000000E0,-1.000000000E0
8.580052733E0,4.300451528E1,-7.879416961E1,1.703804932E2,1.356632254E2,1.320000052E0,1.107421875E2,7.941184635E-2,3.535533906E0,3.000000000E0,-1.000000000E0
